InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,Revenue,Year,Month
542923,22625,RED KITCHEN SCALES,2,2011-02-02 09:08:00,8.5,14665.0,United Kingdom,17.0,2011,2
549749,22382,LUNCH BAG SPACEBOY DESIGN ,10,2011-04-12 10:45:00,1.65,12928.0,United Kingdom,16.5,2011,4
566296,22893,MINI CAKE STAND T-LIGHT HOLDER,5,2011-09-11 15:47:00,0.42,17841.0,United Kingdom,2.1,2011,9
537144,84051,ASS COLOUR GLOWING TIARAS,4,2010-12-05 13:00:00,0.85,15880.0,United Kingdom,3.4,2010,12
564356,22328,ROUND SNACK BOXES SET OF 4 FRUITS ,1,2011-08-24 15:47:00,2.95,13969.0,United Kingdom,2.95,2011,8
548655,47559B,TEA TIME OVEN GLOVE,10,2011-04-01 13:47:00,1.25,15605.0,United Kingdom,12.5,2011,4
547655,22776,SWEETHEART CAKESTAND 3 TIER,4,2011-03-24 12:52:00,9.95,14267.0,United Kingdom,39.8,2011,3
551560,21792,CLASSIC FRENCH STYLE BASKET GREEN ,24,2011-05-03 10:43:00,3.95,16133.0,United Kingdom,94.8,2011,5
552316,23161,REGENCY CAKE FORK,12,2011-05-08 16:11:00,1.25,15674.0,United Kingdom,15.0,2011,5
541010,21448,12 DAISY PEGS IN WOOD BOX,12,2011-01-13 11:05:00,1.65,14114.0,United Kingdom,19.8,2011,1
550659,22028,PENNY FARTHING BIRTHDAY CARD,24,2011-04-20 09:02:00,0.42,17730.0,United Kingdom,10.08,2011,4
564078,22090,PAPER BUNTING RETROSPOT,18,2011-08-22 15:43:00,2.95,17083.0,United Kingdom,53.1,2011,8
555843,22804,CANDLEHOLDER PINK HANGING HEART,6,2011-06-07 13:00:00,2.95,12584.0,Italy,17.700000000000003,2011,6
558702,22124,SET OF 2 TEA TOWELS PING MICROWAVE,3,2011-07-01 12:45:00,2.95,12748.0,United Kingdom,8.850000000000001,2011,7
563017,20978,36 PENCILS TUBE SKULLS,16,2011-08-11 12:48:00,1.25,13198.0,United Kingdom,20.0,2011,8
539320,15056P,EDWARDIAN PARASOL PINK,6,2010-12-16 19:16:00,5.95,14911.0,EIRE,35.7,2010,12
538069,22910,PAPER CHAIN KIT VINTAGE CHRISTMAS,7,2010-12-09 14:08:00,2.95,16795.0,United Kingdom,20.65,2010,12
552329,48187,DOORMAT NEW ENGLAND,4,2011-05-09 10:06:00,7.95,13492.0,Switzerland,31.8,2011,5
566289,22637,PIGGY BANK RETROSPOT ,4,2011-09-11 15:20:00,2.55,15601.0,United Kingdom,10.2,2011,9
545063,21161,KEEP OUT BOYS DOOR HANGER ,1,2011-02-27 14:26:00,1.45,14606.0,United Kingdom,1.45,2011,2
558540,21636,MADRAS NOTEBOOK MEDIUM,12,2011-06-30 12:15:00,0.75,17706.0,United Kingdom,9.0,2011,6
537346,22688,DOORMAT PEACE ON EARTH BLUE,4,2010-12-06 12:21:00,7.95,15301.0,United Kingdom,31.8,2010,12
547910,15060B,FAIRY CAKE DESIGN UMBRELLA,3,2011-03-28 12:23:00,3.75,14159.0,United Kingdom,11.25,2011,3
565447,21980,PACK OF 12 RED RETROSPOT TISSUES ,24,2011-09-04 15:20:00,0.39,14107.0,United Kingdom,9.36,2011,9
562456,23026,DRAWER KNOB VINTAGE GLASS STAR,6,2011-08-05 10:39:00,2.08,15194.0,United Kingdom,12.48,2011,8
553014,21122,SET/10 PINK POLKADOT PARTY CANDLES,3,2011-05-12 18:49:00,1.25,13451.0,United Kingdom,3.75,2011,5
544824,22300,COFFEE MUG DOG + BALL DESIGN,6,2011-02-24 09:32:00,2.55,17139.0,United Kingdom,15.3,2011,2
560366,84970L,SINGLE HEART ZINC T-LIGHT HOLDER,12,2011-07-18 12:19:00,0.95,16859.0,United Kingdom,11.4,2011,7
538374,21937,STRAWBERRY   PICNIC BAG,1,2010-12-12 11:17:00,2.95,14159.0,United Kingdom,2.95,2010,12
544311,22355,CHARLOTTE BAG SUKI DESIGN,1,2011-02-17 14:19:00,0.85,17841.0,United Kingdom,0.85,2011,2
541570,22242,5 HOOK HANGER MAGIC TOADSTOOL,192,2011-01-19 12:34:00,1.45,14646.0,Netherlands,278.4,2011,1
562101,21908,CHOCOLATE THIS WAY METAL SIGN,12,2011-08-02 14:04:00,2.1,13850.0,United Kingdom,25.200000000000003,2011,8
553014,21212,PACK OF 72 RETROSPOT CAKE CASES,6,2011-05-12 18:49:00,0.55,13451.0,United Kingdom,3.3000000000000003,2011,5
538207,20684,STRAWBERRY DREAM CHILDS UMBRELLA,1,2010-12-10 11:33:00,3.25,12748.0,United Kingdom,3.25,2010,12
552958,48194,DOORMAT HEARTS,10,2011-05-12 12:49:00,6.75,15498.0,United Kingdom,67.5,2011,5
538069,85172,HYACINTH BULB T-LIGHT CANDLES,16,2010-12-09 14:08:00,0.42,16795.0,United Kingdom,6.72,2010,12
543806,22470,HEART OF WICKER LARGE,4,2011-02-13 12:48:00,2.95,17085.0,United Kingdom,11.8,2011,2
549439,85099B,JUMBO BAG RED RETROSPOT,10,2011-04-08 12:42:00,2.08,13562.0,United Kingdom,20.8,2011,4
560893,15056P,EDWARDIAN PARASOL PINK,3,2011-07-21 17:08:00,5.95,13804.0,United Kingdom,17.85,2011,7
563614,22952,60 CAKE CASES VINTAGE CHRISTMAS,240,2011-08-18 08:51:00,0.42,12415.0,Australia,100.8,2011,8
537209,20985,HEART CALCULATOR,1,2010-12-05 15:12:00,1.25,14606.0,United Kingdom,1.25,2010,12
547374,22515,CHILDS GARDEN SPADE PINK,1,2011-03-22 13:54:00,2.1,16110.0,United Kingdom,2.1,2011,3
550785,23076,ICE CREAM SUNDAE LIP GLOSS,24,2011-04-20 14:02:00,1.25,15517.0,United Kingdom,30.0,2011,4
541842,22469,HEART OF WICKER SMALL,6,2011-01-23 12:07:00,1.65,16085.0,United Kingdom,9.9,2011,1
560602,22120,WELCOME  WOODEN BLOCK LETTERS,3,2011-07-20 08:48:00,9.95,13629.0,United Kingdom,29.85,2011,7
561625,23199,JUMBO BAG APPLES,10,2011-07-28 14:03:00,2.08,16843.0,United Kingdom,20.8,2011,7
547493,22584,PACK OF 6 PANNETONE GIFT BOXES,144,2011-03-23 12:06:00,2.1,12818.0,Austria,302.40000000000003,2011,3
559032,20677,PINK POLKADOT BOWL,72,2011-07-05 14:53:00,1.06,17511.0,United Kingdom,76.32000000000001,2011,7
561024,22776,SWEETHEART CAKESTAND 3 TIER,2,2011-07-24 10:35:00,9.95,12916.0,United Kingdom,19.9,2011,7
563256,20685,DOORMAT RED RETROSPOT,2,2011-08-15 12:07:00,7.95,18143.0,United Kingdom,15.9,2011,8
549567,22423,REGENCY CAKESTAND 3 TIER,1,2011-04-10 15:07:00,12.75,13632.0,United Kingdom,12.75,2011,4
560499,22917,HERB MARKER ROSEMARY,12,2011-07-19 11:03:00,0.65,16713.0,United Kingdom,7.800000000000001,2011,7
538807,21442,GREEN BIRDHOUSE DECORATION,1,2010-12-14 12:06:00,0.85,17194.0,United Kingdom,0.85,2010,12
553672,22568,FELTCRAFT CUSHION OWL,4,2011-05-18 12:44:00,3.75,15811.0,United Kingdom,15.0,2011,5
553556,22971,QUEENS GUARD COFFEE MUG,6,2011-05-17 16:48:00,2.55,17530.0,United Kingdom,15.3,2011,5
546762,22431,WATERING CAN BLUE ELEPHANT,1,2011-03-16 14:12:00,1.95,17961.0,United Kingdom,1.95,2011,3
560394,22371,AIRLINE BAG VINTAGE TOKYO 78,4,2011-07-18 13:35:00,4.25,14390.0,United Kingdom,17.0,2011,7
548197,22256,FELT FARM ANIMAL CHICKEN,12,2011-03-29 15:53:00,1.25,13588.0,United Kingdom,15.0,2011,3
542902,21670,BLUE SPOT CERAMIC DRAWER KNOB,12,2011-02-01 14:43:00,1.25,16011.0,United Kingdom,15.0,2011,2
538651,22766,PHOTO FRAME CORNICE,1,2010-12-13 15:07:00,2.95,15311.0,United Kingdom,2.95,2010,12
544455,22624,IVORY KITCHEN SCALES,1,2011-02-20 13:18:00,8.5,13097.0,United Kingdom,8.5,2011,2
549789,21936,RED RETROSPOT PICNIC BAG,5,2011-04-12 12:00:00,2.95,17160.0,United Kingdom,14.75,2011,4
545909,22555,PLASTERS IN TIN STRONGMAN,12,2011-03-08 09:45:00,1.65,15819.0,United Kingdom,19.8,2011,3
560145,23181,BULL DOG BOTTLE TOP WALL CLOCK,8,2011-07-15 11:04:00,7.5,13381.0,United Kingdom,60.0,2011,7
551966,22616,PACK OF 12 LONDON TISSUES ,12,2011-05-05 13:14:00,0.29,15356.0,United Kingdom,3.4799999999999995,2011,5
545978,22249,DECORATION WHITE CHICK MAGIC GARDEN,6,2011-03-08 12:19:00,0.85,13975.0,United Kingdom,5.1,2011,3
556441,22377,BOTTLE BAG RETROSPOT ,8,2011-06-10 15:07:00,2.1,14415.0,United Kingdom,16.8,2011,6
551816,22900, SET 2 TEA TOWELS I LOVE LONDON ,6,2011-05-04 11:50:00,3.25,15906.0,United Kingdom,19.5,2011,5
545995,20711,JUMBO BAG TOYS ,3,2011-03-08 13:54:00,1.95,15023.0,United Kingdom,5.85,2011,3
544495,48184,DOORMAT ENGLISH ROSE ,2,2011-02-21 11:42:00,7.95,12766.0,Portugal,15.9,2011,2
556542,20749,ASSORTED COLOUR MINI CASES,1,2011-06-13 12:52:00,7.95,14719.0,United Kingdom,7.95,2011,6
555936,21084,SET/6 COLLAGE PAPER CUPS,24,2011-06-08 09:16:00,0.19,12567.0,France,4.5600000000000005,2011,6
537758,22150,3 STRIPEY MICE FELTCRAFT,6,2010-12-08 11:41:00,1.95,16122.0,United Kingdom,11.7,2010,12
564729,22672,FRENCH BATHROOM SIGN BLUE METAL,2,2011-08-28 12:44:00,1.65,13137.0,United Kingdom,3.3,2011,8
544673,22969,HOMEMADE JAM SCENTED CANDLES,12,2011-02-22 15:46:00,1.45,13421.0,United Kingdom,17.4,2011,2
536987,21623,VINTAGE UNION JACK MEMOBOARD,2,2010-12-03 14:54:00,9.95,17198.0,United Kingdom,19.9,2010,12
538507,85114A,BLACK ENCHANTED FOREST PLACEMAT,1,2010-12-12 13:26:00,1.65,15547.0,United Kingdom,1.65,2010,12
547940,21754,HOME BUILDING BLOCK WORD,18,2011-03-28 14:43:00,5.45,16814.0,United Kingdom,98.1,2011,3
542890,22521,CHILDS GARDEN TROWEL PINK,3,2011-02-01 13:25:00,0.85,15311.0,United Kingdom,2.55,2011,2
563548,20971,PINK BLUE FELT CRAFT TRINKET BOX,12,2011-08-17 12:30:00,1.25,12528.0,Germany,15.0,2011,8
556216,47566B,TEA TIME PARTY BUNTING,4,2011-06-09 14:15:00,4.95,15252.0,United Kingdom,19.8,2011,6
548451,22439,6 ROCKET BALLOONS ,10,2011-03-31 11:25:00,0.65,17365.0,United Kingdom,6.5,2011,3
564747,84832,ZINC WILLIE WINKIE  CANDLE STICK,6,2011-08-28 16:09:00,0.85,14869.0,United Kingdom,5.1,2011,8
565766,21578,WOODLAND DESIGN  COTTON TOTE BAG,1,2011-09-06 14:23:00,2.25,17841.0,United Kingdom,2.25,2011,9
536667,22910,PAPER CHAIN KIT VINTAGE CHRISTMAS,12,2010-12-02 12:09:00,2.95,15260.0,United Kingdom,35.400000000000006,2010,12
536464,22810,SET OF 6 T-LIGHTS SNOWMEN,1,2010-12-01 12:23:00,2.95,17968.0,United Kingdom,2.95,2010,12
541972,37446,MINI CAKE STAND WITH HANGING CAKES,8,2011-01-24 13:58:00,1.45,12935.0,United Kingdom,11.6,2011,1
547096,23176,ABC TREASURE BOOK BOX ,8,2011-03-21 09:13:00,2.25,15669.0,United Kingdom,18.0,2011,3
551013,22843,BISCUIT TIN VINTAGE GREEN,2,2011-04-26 10:54:00,6.75,15108.0,European Community,13.5,2011,4
537806,22131,FOOD CONTAINER SET 3 LOVE HEART ,12,2010-12-08 13:21:00,1.95,13113.0,United Kingdom,23.4,2010,12
557954,21340,CLASSIC METAL BIRDCAGE PLANT HOLDER,2,2011-06-23 18:44:00,12.75,15023.0,United Kingdom,25.5,2011,6
547094,84580,MOUSE TOY WITH PINK T-SHIRT,12,2011-03-21 08:39:00,3.75,13934.0,United Kingdom,45.0,2011,3
559016,84380,SET OF 3 BUTTERFLY COOKIE CUTTERS,24,2011-07-05 13:01:00,1.25,14051.0,United Kingdom,30.0,2011,7
564725,22571,ROCKING HORSE RED CHRISTMAS ,2,2011-08-28 12:28:00,0.85,18041.0,United Kingdom,1.7,2011,8
563662,22530,MAGIC DRAWING SLATE DOLLY GIRL ,24,2011-08-18 11:40:00,0.42,12729.0,France,10.08,2011,8
564171,23328,SET 6 SCHOOL MILK BOTTLES IN CRATE,24,2011-08-23 14:00:00,3.39,16133.0,United Kingdom,81.36,2011,8
553731,22728,ALARM CLOCK BAKELIKE PINK,4,2011-05-19 08:26:00,3.75,12481.0,Germany,15.0,2011,5
544943,21673,WHITE SPOT BLUE CERAMIC DRAWER KNOB,12,2011-02-25 10:39:00,1.25,15845.0,United Kingdom,15.0,2011,2
549012,22674,FRENCH TOILET SIGN BLUE METAL,12,2011-04-05 14:51:00,1.25,16394.0,United Kingdom,15.0,2011,4
549559,21217,RED RETROSPOT ROUND CAKE TINS,2,2011-04-10 13:25:00,9.95,12447.0,Belgium,19.9,2011,4
561093,22740,POLKADOT PEN,48,2011-07-25 10:01:00,0.85,12540.0,Spain,40.8,2011,7
558196,21908,CHOCOLATE THIS WAY METAL SIGN,5,2011-06-27 12:38:00,2.1,16033.0,United Kingdom,10.5,2011,6
556019,23171,REGENCY TEA PLATE GREEN ,12,2011-06-08 12:02:00,1.65,18092.0,United Kingdom,19.8,2011,6
562517,22508,DOORSTOP RETROSPOT HEART,1,2011-08-05 12:27:00,3.75,15719.0,United Kingdom,3.75,2011,8
546846,22649,STRAWBERRY FAIRY CAKE TEAPOT,1,2011-03-17 12:47:00,4.95,13533.0,United Kingdom,4.95,2011,3
557308,15056P,EDWARDIAN PARASOL PINK,1,2011-06-19 15:13:00,5.95,16744.0,United Kingdom,5.95,2011,6
540473,22492,MINI PAINT SET VINTAGE ,36,2011-01-07 14:31:00,0.65,17284.0,United Kingdom,23.4,2011,1
546998,22061,LARGE CAKE STAND  HANGING STRAWBERY,2,2011-03-18 13:32:00,9.95,16023.0,United Kingdom,19.9,2011,3
547910,37500,TEA TIME TEAPOT IN GIFT BOX,2,2011-03-28 12:23:00,4.95,14159.0,United Kingdom,9.9,2011,3
552444,23184,BULL DOG BOTTLE OPENER,3,2011-05-09 13:10:00,4.95,17634.0,United Kingdom,14.85,2011,5
560125,72818,CHRISTMAS DECOUPAGE CANDLE,1,2011-07-15 10:44:00,0.85,18118.0,United Kingdom,0.85,2011,7
566045,22309,TEA COSY RED  STRIPE,50,2011-09-08 13:57:00,2.1,15400.0,United Kingdom,105.0,2011,9
547860,84406B,CREAM CUPID HEARTS COAT HANGER,1,2011-03-27 12:21:00,4.15,17625.0,United Kingdom,4.15,2011,3
546465,22296,HEART IVORY TRELLIS LARGE,6,2011-03-14 10:57:00,1.65,14395.0,United Kingdom,9.9,2011,3
547548,22313,OFFICE MUG WARMER PINK,1,2011-03-23 15:37:00,2.95,15644.0,United Kingdom,2.95,2011,3
547786,84997D,CHILDRENS CUTLERY POLKADOT PINK,1,2011-03-25 11:44:00,4.15,14587.0,United Kingdom,4.15,2011,3
559662,21889,WOODEN BOX OF DOMINOES,12,2011-07-11 13:32:00,1.25,16572.0,United Kingdom,15.0,2011,7
547358,21094,SET/6 RED SPOTTY PAPER PLATES,4,2011-03-22 12:25:00,0.85,15998.0,United Kingdom,3.4,2011,3
555741,22563,HAPPY STENCIL CRAFT,12,2011-06-07 10:05:00,1.25,16817.0,United Kingdom,15.0,2011,6
547799,20726,LUNCH BAG WOODLAND,30,2011-03-25 12:48:00,1.65,17139.0,United Kingdom,49.5,2011,3
560260,15056N,EDWARDIAN PARASOL NATURAL,1,2011-07-17 13:32:00,5.95,14044.0,United Kingdom,5.95,2011,7
542354,22385,JUMBO BAG SPACEBOY DESIGN,10,2011-01-27 12:19:00,1.95,14709.0,United Kingdom,19.5,2011,1
552247,21418,STARFISH SOAP DISH,1,2011-05-06 19:48:00,2.55,12748.0,United Kingdom,2.55,2011,5
541504,20914,SET/5 RED RETROSPOT LID GLASS BOWLS,3,2011-01-18 15:37:00,2.95,14415.0,United Kingdom,8.850000000000001,2011,1
555472,23283,DOORMAT VINTAGE LEAVES DESIGN ,10,2011-06-03 11:46:00,6.75,16701.0,United Kingdom,67.5,2011,6
545855,21888,BINGO SET,8,2011-03-07 13:52:00,3.75,15290.0,United Kingdom,30.0,2011,3
560125,21562,HAWAIIAN GRASS SKIRT ,1,2011-07-15 10:44:00,1.25,18118.0,United Kingdom,1.25,2011,7
546684,21746,SMALL RED RETROSPOT WINDMILL,96,2011-03-16 09:47:00,1.06,16152.0,United Kingdom,101.76,2011,3
536796,21559,STRAWBERRY LUNCH BOX WITH CUTLERY,1,2010-12-02 15:46:00,2.55,15574.0,United Kingdom,2.55,2010,12
556507,22693,GROW A FLYTRAP OR SUNFLOWER IN TIN,24,2011-06-13 09:55:00,1.25,12567.0,France,30.0,2011,6
559984,16236,KITTY PENCIL ERASERS,10,2011-07-14 11:45:00,0.21,16657.0,United Kingdom,2.1,2011,7
545854,22595,GINGHAM HEART DECORATION,24,2011-03-07 13:51:00,0.85,14817.0,United Kingdom,20.4,2011,3
537238,22505,MEMO BOARD COTTAGE DESIGN,1,2010-12-06 10:03:00,4.95,16161.0,United Kingdom,4.95,2010,12
563771,21524,DOORMAT SPOTTY HOME SWEET HOME,1,2011-08-19 11:17:00,7.95,17841.0,United Kingdom,7.95,2011,8
560444,22457,NATURAL SLATE HEART CHALKBOARD ,3,2011-07-18 17:15:00,2.95,13764.0,United Kingdom,8.850000000000001,2011,7
557055,20726,LUNCH BAG WOODLAND,10,2011-06-16 14:45:00,1.65,12621.0,Germany,16.5,2011,6
544688,15056N,EDWARDIAN PARASOL NATURAL,4,2011-02-23 08:29:00,5.95,18151.0,United Kingdom,23.8,2011,2
563746,20725,LUNCH BAG RED RETROSPOT,10,2011-08-19 10:05:00,1.65,14745.0,United Kingdom,16.5,2011,8
549250,22418,10 COLOUR SPACEBOY PEN,12,2011-04-07 12:10:00,0.85,14446.0,United Kingdom,10.2,2011,4
546430,47566,PARTY BUNTING,2,2011-03-13 15:55:00,4.95,15918.0,United Kingdom,9.9,2011,3
542192,21717,EASTER TIN BUCKET,4,2011-01-26 11:27:00,2.55,14049.0,United Kingdom,10.2,2011,1
558247,21471,STRAWBERRY RAFFIA FOOD COVER,1,2011-06-27 16:46:00,3.75,14167.0,United Kingdom,3.75,2011,6
558430,85099F,JUMBO BAG STRAWBERRY,10,2011-06-29 12:12:00,2.08,13238.0,United Kingdom,20.8,2011,6
557123,22493,PAINT YOUR OWN CANVAS SET,3,2011-06-16 17:56:00,1.65,15555.0,United Kingdom,4.949999999999999,2011,6
538514,48138,DOORMAT UNION FLAG,2,2010-12-12 14:27:00,7.95,15044.0,United Kingdom,15.9,2010,12
549729,85186C,BUNNY EGG GARLAND,3,2011-04-11 16:17:00,0.42,13634.0,United Kingdom,1.26,2011,4
565593,23188,VINTAGE  2 METER FOLDING RULER,12,2011-09-05 14:07:00,1.65,17612.0,United Kingdom,19.8,2011,9
560086,20727,LUNCH BAG  BLACK SKULL.,10,2011-07-14 16:35:00,1.65,15839.0,United Kingdom,16.5,2011,7
556531,85062,PEARL CRYSTAL PUMPKIN T-LIGHT HLDR,12,2011-06-13 11:49:00,1.65,15491.0,United Kingdom,19.8,2011,6
540533,22659,LUNCH BOX I LOVE LONDON,2,2011-01-09 14:12:00,1.95,15005.0,United Kingdom,3.9,2011,1
544464,85049G,CHOCOLATE BOX RIBBONS ,2,2011-02-20 14:38:00,1.25,17323.0,United Kingdom,2.5,2011,2
536856,22798,ANTIQUE GLASS DRESSING TABLE POT,8,2010-12-03 10:26:00,2.95,13370.0,United Kingdom,23.6,2010,12
551665,20675,BLUE POLKADOT BOWL,8,2011-05-03 12:35:00,1.25,17442.0,United Kingdom,10.0,2011,5
555835,21989,PACK OF 20 SKULL PAPER NAPKINS,1,2011-06-07 12:34:00,0.85,14525.0,United Kingdom,0.85,2011,6
548312,20967,GREY FLORAL FELTCRAFT SHOULDER BAG,1,2011-03-30 12:12:00,3.75,16059.0,United Kingdom,3.75,2011,3
563915,23342,MINT DINER WALL CLOCK,1,2011-08-21 13:24:00,8.5,14224.0,United Kingdom,8.5,2011,8
539475,16161U,WRAP SUKI AND FRIENDS,25,2010-12-19 14:41:00,0.42,16686.0,United Kingdom,10.5,2010,12
537775,21523,DOORMAT FANCY FONT HOME SWEET HOME,2,2010-12-08 12:41:00,7.95,17722.0,United Kingdom,15.9,2010,12
557995,22332,SKULLS PARTY BAG + STICKER SET,5,2011-06-24 10:44:00,1.65,17979.0,United Kingdom,8.25,2011,6
536874,22945,CHRISTMAS METAL TAGS ASSORTED ,6,2010-12-03 11:35:00,0.85,16891.0,United Kingdom,5.1,2010,12
540642,22467,GUMBALL COAT RACK,12,2011-01-10 13:22:00,2.55,12681.0,France,30.6,2011,1
561743,22801,ANTIQUE GLASS PEDESTAL BOWL,16,2011-07-29 12:16:00,3.39,13089.0,United Kingdom,54.24,2011,7
566008,20617,FIRST CLASS PASSPORT COVER ,2,2011-09-08 12:04:00,2.1,16426.0,United Kingdom,4.2,2011,9
539109,20733,GOLD MINI TAPE MEASURE ,300,2010-12-16 11:07:00,0.72,16013.0,United Kingdom,216.0,2010,12
546378,22614,PACK OF 12 SPACEBOY TISSUES,24,2011-03-11 12:17:00,0.29,14329.0,United Kingdom,6.959999999999999,2011,3
549238,23256,CHILDRENS CUTLERY SPACEBOY ,2,2011-04-07 11:30:00,4.15,14667.0,United Kingdom,8.3,2011,4
547382,22557,PLASTERS IN TIN VINTAGE PAISLEY ,2,2011-03-22 15:31:00,1.65,15457.0,United Kingdom,3.3,2011,3
560248,23138,SINGLE WIRE HOOK IVORY HEART,12,2011-07-17 12:24:00,1.45,16255.0,United Kingdom,17.4,2011,7
547785,22035,VINTAGE CARAVAN GREETING CARD ,24,2011-03-25 11:41:00,0.42,13097.0,United Kingdom,10.08,2011,3
543164,22822,CREAM WALL PLANTER HEART SHAPED,2,2011-02-03 19:32:00,5.95,13208.0,United Kingdom,11.9,2011,2
550941,23176,ABC TREASURE BOOK BOX ,1,2011-04-21 15:46:00,2.25,17109.0,United Kingdom,2.25,2011,4
564736,20754,RETROSPOT RED WASHING UP GLOVES,12,2011-08-28 13:42:00,2.1,16353.0,United Kingdom,25.200000000000003,2011,8
565845,22411,JUMBO SHOPPER VINTAGE RED PAISLEY,20,2011-09-07 12:21:00,2.08,14709.0,United Kingdom,41.6,2011,9
542231,22562,MONSTERS STENCIL CRAFT,4,2011-01-26 13:40:00,1.25,16714.0,United Kingdom,5.0,2011,1
559311,20724,RED RETROSPOT CHARLOTTE BAG,20,2011-07-07 13:35:00,0.85,14459.0,United Kingdom,17.0,2011,7
558461,20914,SET/5 RED RETROSPOT LID GLASS BOWLS,1,2011-06-29 15:03:00,2.95,13263.0,United Kingdom,2.95,2011,6
